id,tipo_recurso,citacao,localizacao,personagem,interpretacao
R129,sátira,"Tenho um primo Joaquim que é um galante sujeito, comprei onte à tarde um leito para esta noute dormir",L0992-L0995,Doutor,"Décima de disparates encadeados sem nexo, em resposta ao soneto do Chantre. A paródia opera pela ausência total de pertinência — a forma poética mantém-se, o sentido evapora-se."
R130,hipérbole,"depois de vos ouvir, prima adorada, já não tem mais que ouvir o meu desejo",L1043-L1044,Chantre,Encerramento do encómio: ouvir a prima esgota o desejo de ouvir. A hipérbole é sincera dentro da ficção e ridícula fora dela.
R131,ironia,"que essa voz, pelo grosso e pelo fino, bem pode acompanhar qualquer defunto",L1050-L1051,Doutor,"Primeiro verso do contra-encómio. O soneto do Doutor responde ao do Chantre verso a verso, formando um díptico louvor/vitupério que é a construção retórica mais elaborada do papel."
R132,comparação,esse eco substimado parece de rapaz inda de escola quando vai a fazer o seu recado,L1057-L1059,Doutor,"A voz da freira é comparada à de um moço de recados. A comparação retira-lhe simultaneamente idade, sexo e dignidade."
R133,ironia,há de cantar os passos da charola,L1063,Doutor,O destino artístico prometido é o das procissões da Quaresma. A referência local dá ao insulto uma precisão que o público reconheceria de imediato.
R134,trocadilho,"Cacau tem ela, que lhe dá o Chantre",L1068,Doutor,Aparte obsceno construído sobre a mercadoria colonial que acaba de entrar em cena. É o ponto em que a sátira ao clero se torna mais crua.
R135,hipérbole,Essa vozo é um trovão,L1079,Preto (vendedor de cacau),"O elogio hiperbólico do vendedor é sincero e, por isso mesmo, mais devastador do que a ironia do Doutor. A voz que todos criticaram é aqui fenómeno meteorológico."
R136,comparação,pode ir a uma função com os pretinhos de Guiné,L1083-L1084,Preto (vendedor de cacau),"O louvor situa a freira numa festa negra de Lisboa. A comparação atravessa a fronteira social do convento e é, no papel, a única que o faz por elogio."
R137,metáfora,"Ai, que o sebo vai-se derretendo",L1090,Doutor,Aparte que traduz o enlevo geral em gordura a derreter. A metáfora corpórea desfaz o clima de galanteio no exacto momento em que ele culmina.
R138,comparação,O senhor doutor parece que gritava àque del rei,L1110,Preto (vendedor de cacau),"O canto do médico é comparado ao grito de socorro. A comparação vinga, sem intenção aparente, todas as troças que o Doutor distribuiu."
R139,ironia,"Se ele curasse os doentes cantando, morriam todos",L1112,Galego,"O criado remata o escárnio ao médico. É significativo que a sentença mais dura contra o Doutor venha do galego, a personagem de menor estatuto da cena."
R140,antítese,quem não vive duvidoso não ama os finos desvelos,L1120-L1121,Chantre,"Glosa do mote «Quem tem amores, tem zelos». A antítese entre dúvida e amor é doutrina cortês tratada com seriedade, num contexto que a esvazia."
R141,enumeração,"Casado tem mulher, quem bem paga tem dinheiro, vende vinho o taverneiro, quem tem fome quer comer",L1129-L1132,Doutor,Glosa feita inteira de truísmos. A forma poética cumpre-se com rigor enquanto o conteúdo se recusa: é paródia da glosa como exercício obrigatório de sociedade.
R142,ironia,"era preta dos outro laia, parenta dos Vasconcelos",L1155-L1156,Preto (vendedor de cacau),Atribui-se à mulher negra parentesco com uma casa nobre portuguesa. O verso brinca com a genealogia e com os apelidos impostos pela escravatura — leitura que o texto abre e não desenvolve.
R143,sátira,que o mesmo é ter freira que cobrar a cabeça,L1166,Doutor,"Sentença final sobre o freiratismo, com jogo entre a cabeça que se cobra e a que se perde. Fecha o passo devolvendo-lhe o motivo da decapitação que o passo de Judite tratara a sério."
R144,trocadilho,"vá-se embora, que aqui não há frete",L1180,Preto (vendedor de cacau),«Frete» é carreto e é proveito. A altercação final entre os dois criados estrangeirados faz-se toda sobre os ofícios a que cada um é socialmente atribuído.
R145,trocadilho,vá-se embora que aqui não há que esfolar,L1182,Galego,"Resposta simétrica, com o ofício de esfolar atribuído ao adversário. A peça acaba, significativamente, num conflito entre subalternos e não entre senhores."
